2023-01-21 20:36:44.898827; get_steps_lst; [1100, '/', 25, '-', 22, '*', 3, '/', 2, '+', 120, '*', 8]
2023-01-21 20:36:44.899696; get_steps_count; 6
2023-01-21 20:36:44.901681; process_func; 971.0
2023-01-21 20:39:35.481309; get_steps_lst; [1100, '/', 25, '-', 22, '*', 3, '/', 2, '+', 120, '*', 8]
2023-01-21 20:39:35.481309; get_steps_count; 6
2023-01-21 20:39:35.495318; process_func; 971.0
2023-01-21 20:48:46.350661; get_steps_lst; [1100, '/', 25, '-', 22, '*', 3, '/', 2, '+', 120, '*', 8]
2023-01-21 20:48:46.350661; get_steps_count; 6
2023-01-21 20:48:46.352662; process_func; 971.0
